ETFSym,HoldingSym,HoldingPercentage
HDG,ARGD,0.0001
HDG,OSTK,0.0001
HDG,FRTA,0.0001
HDG,ANGO,0.0001
HDG,RGR,0.0001
HDG,KRYS,0.0001
HDG,XPEL,0.0001
HDG,CDMO,0.0001
HDG,LGF.A,0.0001
HDG,ASTE,0.0001
HDG,GNK,0.0001
HDG,DFIN,0.0001
HDG,CXW,0.0001
HDG,AMRK,0.0001
HDG,MYE,0.0001
HDG,ACRS,0.0001
HDG,VNDA,0.0001
HDG,LAUR,0.0001
HDG,AXSM,0.0001
HDG,RVMD,0.0001
HDG,NP,0.0001
HDG,SLP,0.0001
HDG,UIS,0.0001
HDG,HNGR,0.0001
HDG,TBI,0.0001
HDG,HFWA,0.0001
HDG,PMT,0.0001
HDG,SHEN,0.0001
HDG,PRDO,0.0001
HDG,GLT,0.0001
HDG,AMCX,0.0001
HDG,LGND,0.0001
HDG,AHH,0.0001
HDG,NTUS,0.0001
HDG,ABTX,0.0001
HDG,FLGT,0.0001
HDG,MYRG,0.0001
HDG,KAMN,0.0001
HDG,GRBK,0.0001
HDG,RVNC,0.0001
HDG,NXGN,0.0001
HDG,MODV,0.0001
HDG,JYNT,0.0001
HDG,FFIC,0.0001
HDG,SPNT,0.0001
HDG,CRK,0.0001
HDG,BATRK,0.0001
HDG,PDFS,0.0001
HDG,SGH,0.0001
HDG,INGN,0.0001
HDG,PSMT,0.0001
HDG,ENTA,0.0001
HDG,AIV,0.0001
HDG,LILAK,0.0001
HDG,NYMT,0.0001
HDG,ANAT,0.0001
HDG,BBBY,0.0001
HDG,GEO,0.0001
HDG,COHU,0.0001
HDG,MNRO,0.0001
HDG,KELYA,0.0001
HDG,PFBC,0.0001
HDG,ACCD,0.0001
HDG,ACRE,0.0001
HDG,WRLD,0.0001
HDG,MODN,0.0001
HDG,ROCC,0.0001
HDG,OBNK,0.0001
HDG,SUMO,0.0001
HDG,DDS,0.0001
HDG,ATRA,0.0001
HDG,KRA,0.0001
HDG,ROAD,0.0001
HDG,GVA,0.0001
HDG,PBI,0.0001
HDG,CWEN.A,0.0001
HDG,FARO,0.0001
HDG,HWKN,0.0001
HDG,MHO,0.0001
HDG,PLOW,0.0001
HDG,SWTX,0.0001
HDG,SNDX,0.0001
HDG,APOG,0.0001
HDG,AGX,0.0001
HDG,YEXT,0.0001
HDG,ALHC,0.0001
HDG,GIII,0.0001
HDG,BANC,0.0001
HDG,WNC,0.0001
HDG,MRC,0.0001
HDG,COLL,0.0001
HDG,SCSC,0.0001
HDG,XENT,0.0001
HDG,STEM,0.0001
HDG,VXRT,0.0001
HDG,CNOB,0.0001
HDG,SWBI,0.0001
HDG,MCB,0.0001
HDG,JRVR,0.0001
HDG,MCRI,0.0001
HDG,DNOW,0.0001
HDG,VVNT,0.0001
HDG,CRAI,0.0001
HDG,NBR,0.0001
HDG,LTH,0.0001
HDG,SUPN,0.0001
HDG,FBNC,0.0001
HDG,RWT,0.0001
HDG,DBI,0.0001
HDG,AMBC,0.0001
HDG,IRWD,0.0001
HDG,LMAT,0.0001
HDG,UVV,0.0001
HDG,DBD,0.0001
HDG,BSIG,0.0001
HDG,SNEX,0.0001
HDG,OPI,0.0001
HDG,RPAY,0.0001
HDG,BKE,0.0001
HDG,NNI,0.0001
HDG,AORT,0.0001
HDG,RTL,0.0001
HDG,MGI,0.0001
HDG,HSTM,0.0001
HDG,CERE,0.0001
HDG,ISEE,0.0001
